date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren_period,yr_renovated_dt,date_dt
10/13/2014,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1955,1955.0,98178,47.5112,-122.257,1340,5650,60.0,1955,2014-10-13
12/9/2014,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,24.0,1991,2014-12-09
2/25/2015,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,1933.0,98028,47.7379,-122.23299999999999,2720,8062,82.0,1933,2015-02-25
12/9/2014,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,1965.0,98136,47.5208,-122.39299999999999,1360,5000,50.0,1965,2014-12-09
2/18/2015,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1987,1987.0,98074,47.6168,-122.045,1800,7503,28.0,1987,2015-02-18
5/12/2014,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,2001,2001.0,98053,47.6561,-122.005,4760,101930,14.0,2001,2014-05-12
6/27/2014,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,1995,1995.0,98003,47.3097,-122.32700000000001,2238,6819,20.0,1995,2014-06-27
1/15/2015,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,1963.0,98198,47.4095,-122.315,1650,9711,52.0,1963,2015-01-15
4/15/2015,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,1960.0,98146,47.5123,-122.337,1780,8113,55.0,1960,2015-04-15
3/12/2015,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,2003.0,98038,47.3684,-122.031,2390,7570,12.0,2003,2015-03-12
4/3/2015,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,1965,1965.0,98007,47.6007,-122.145,2210,8925,50.0,1965,2015-04-03
5/27/2014,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,1942.0,98115,47.69,-122.292,1330,6000,73.0,1942,2014-05-27
5/28/2014,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,1927.0,98028,47.7558,-122.229,1780,12697,88.0,1927,2014-05-28
10/7/2014,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,1977.0,98074,47.6127,-122.045,1370,10208,38.0,1977,2014-10-07
3/12/2015,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1900,1900.0,98107,47.67,-122.39399999999999,1360,4850,115.0,1900,2015-03-12
1/24/2015,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,1979.0,98126,47.5714,-122.375,2140,4000,36.0,1979,2015-01-24
7/31/2014,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,1994.0,98019,47.7277,-121.962,1890,14018,21.0,1994,2014-07-31
5/29/2014,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,1916.0,98103,47.6648,-122.34299999999999,1610,4300,99.0,1916,2014-05-29
12/5/2014,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,1921.0,98002,47.3089,-122.21,1060,5095,94.0,1921,2014-12-05
4/24/2015,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,1969.0,98003,47.3343,-122.306,1280,8850,46.0,1969,2015-04-24
5/14/2014,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,1947.0,98133,47.7025,-122.34100000000001,1400,4980,68.0,1947,2014-05-14
8/26/2014,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,2330,720.0,1968,1968.0,98040,47.5316,-122.23299999999999,4110,20336,47.0,1968,2014-08-26
7/3/2014,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,1995.0,98092,47.3266,-122.169,2240,7005,20.0,1995,2014-07-03
5/16/2014,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1985,1985.0,98030,47.3533,-122.166,1220,8386,30.0,1985,2014-05-16
11/20/2014,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,1985.0,98030,47.3739,-122.17200000000001,2200,6865,30.0,1985,2014-11-20
11/3/2014,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,1941.0,98002,47.3048,-122.21799999999999,1030,4705,74.0,1941,2014-11-03
6/26/2014,937000.0,3,1.75,2450,2691,2.0,0.0,0.0,3,8,1750,700.0,1915,1915.0,98119,47.6386,-122.36,1760,3573,100.0,1915,2014-06-26
12/1/2014,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1400,0.0,1909,1909.0,98112,47.6221,-122.314,1860,3861,106.0,1909,2014-12-01
6/24/2014,438000.0,3,1.75,1520,6380,1.0,0.0,0.0,3,7,790,730.0,1948,1948.0,98115,47.695,-122.304,1520,6235,67.0,1948,2014-06-24
3/2/2015,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2570,0.0,2005,2005.0,98052,47.7073,-122.11,2630,6026,10.0,2005,2015-03-02
11/10/2014,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2320,0.0,2003,2003.0,98027,47.5391,-122.07,2580,3980,12.0,2003,2014-11-10
12/1/2014,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,1190,0.0,2005,2005.0,98133,47.7274,-122.35700000000001,1390,1756,10.0,2005,2014-12-01
6/24/2014,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1510,820.0,1929,1929.0,98117,47.6823,-122.368,1460,5000,86.0,1929,2014-06-24
11/10/2014,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1090,0.0,1929,1929.0,98117,47.6889,-122.375,1570,5080,86.0,1929,2014-11-10
12/3/2014,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1280,780.0,1981,1981.0,98058,47.4276,-122.15700000000001,2020,8720,34.0,1981,2014-12-03
6/13/2014,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,13.0,2002,2014-06-13
5/28/2014,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,1,5,930,730.0,1933,1933.0,98052,47.6621,-122.132,2160,11467,82.0,1933,2014-05-28
12/30/2014,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,2360,0.0,1904,1904.0,98107,47.6702,-122.36200000000001,1730,4700,111.0,1904,2014-12-30
2/13/2015,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,890,330.0,1969,1969.0,98001,47.3341,-122.28200000000001,1290,7800,46.0,1969,2015-02-13
6/20/2014,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,2620,0.0,1996,1996.0,98056,47.5301,-122.18,2620,11884,19.0,1996,2014-06-20
7/15/2014,625000.0,4,2.5,2570,5520,2.0,0.0,0.0,3,9,2570,0.0,2000,2000.0,98074,47.6145,-122.027,2470,5669,15.0,2000,2014-07-15
8/11/2014,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,3,8,2600,1620.0,1984,1984.0,98166,47.445,-122.34700000000001,2410,30617,31.0,1984,2014-08-11
7/7/2014,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,3595,0.0,2014,2014.0,98053,47.6848,-122.016,3625,5639,1.0,2014,2014-07-07
10/28/2014,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1570,0.0,1922,1922.0,98119,47.6413,-122.36399999999999,1580,2640,93.0,1922,2014-10-28
7/29/2014,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,920,360.0,1959,1959.0,98058,47.4485,-122.175,1340,8808,56.0,1959,2014-07-29
7/18/2014,488000.0,3,2.5,3160,13603,2.0,0.0,0.0,3,8,3160,0.0,2003,2003.0,98019,47.7443,-121.977,3050,9232,12.0,2003,2014-07-18
3/25/2015,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,990,0.0,1966,1966.0,98023,47.3066,-122.37100000000001,1228,8840,49.0,1966,2015-03-25
7/16/2014,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,2290,0.0,1981,1981.0,98007,47.6194,-122.15100000000001,2680,13685,34.0,1981,2014-07-16
4/28/2015,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1250,0.0,1953,1953.0,98115,47.6796,-122.301,970,5100,62.0,1953,2015-04-28
3/11/2015,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,5,9,2165,588.0,1953,1953.0,98070,47.4041,-122.45100000000001,2680,72513,62.0,1953,2015-03-11
9/16/2014,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1190,0.0,1955,1955.0,98148,47.4258,-122.322,1190,9364,60.0,1955,2014-09-16
2/17/2015,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1640,1510.0,1966,1966.0,98056,47.4934,-122.189,1990,9133,49.0,1966,2015-02-17
12/31/2014,600000.0,3,1.75,1410,4080,1.0,0.0,0.0,4,7,1000,410.0,1950,1950.0,98117,47.6808,-122.384,1410,4080,65.0,1950,2014-12-31
2/5/2015,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,990,990.0,1981,1981.0,98117,47.6989,-122.369,1480,6738,34.0,1981,2015-02-05
3/3/2015,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,2130,600.0,1927,1927.0,98105,47.6571,-122.281,2730,6000,88.0,1927,2015-03-03
5/12/2014,885000.0,4,2.5,2830,5000,2.0,0.0,0.0,3,9,2830,0.0,1995,1995.0,98105,47.6597,-122.29,1950,5000,20.0,1995,2014-05-12
8/19/2014,292500.0,4,2.5,2250,4495,2.0,0.0,0.0,3,7,2250,0.0,2008,2008.0,98042,47.3663,-122.11399999999999,2250,4500,7.0,2008,2014-08-19
4/7/2015,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2420,0.0,2003,2003.0,98042,47.3663,-122.12200000000001,2690,4750,12.0,2003,2015-04-07
8/27/2014,951000.0,5,3.25,3250,14342,2.0,0.0,4.0,4,8,3250,0.0,1968,1968.0,98008,47.588,-122.116,2960,11044,47.0,1968,2014-08-27
2/23/2015,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1850,0.0,1991,1991.0,98059,47.5059,-122.149,2270,8542,24.0,1991,2015-02-23
12/10/2014,650000.0,3,2.25,2150,21235,1.0,0.0,3.0,4,8,1590,560.0,1959,1959.0,98166,47.4336,-122.339,2570,18900,56.0,1959,2014-12-10
8/28/2014,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1260,0.0,1954,1954.0,98148,47.4366,-122.335,1290,8750,61.0,1954,2014-08-28
10/21/2014,505000.0,3,1.75,2519,8690,2.0,0.0,0.0,5,8,2519,0.0,1973,1973.0,98166,47.4428,-122.344,2500,9500,42.0,1973,2014-10-21
