price,zipcode
78000,98168
80000,98014
81000,98168
82000,98146
82500,98168
83000,98168
84000,98168
85000,98032
85000,98032
86500,98023
89000,98023
89950,98146
90000,98034
90000,98092
90000,98106
90000,98108
90000,98178
92000,98168
95000,98002
95000,98058
95000,98198
95000,98198
96500,98023
99000,98058
100000,98001
100000,98001
100000,98032
100000,98055
100000,98166
100000,98178
102500,98106
104950,98146
105000,98023
105000,98042
105500,98148
106000,98146
107000,98106
107000,98106
109000,98118
109500,98168
110000,98001
110000,98038
110000,98055
110000,98126
110000,98166
110000,98168
110000,98168
110000,98188
110700,98188
111300,98002
112000,98002
114000,98146
114975,98146
115000,98001
115000,98001
115000,98023
115000,98146
115000,98146
115000,98146
115000,98168
118000,98038
118125,98168
119500,98019
119900,98178
120000,98030
120000,98042
120000,98198
120750,98023
121800,98146
122000,98022
122000,98126
122000,98148
122000,98168
123000,98168
123300,98032
124000,98168
124000,98168
124500,98001
124740,98042
125000,98002
125000,98002
125000,98106
125000,98117
125000,98146
126000,98055
126500,98146
128000,98003
128000,98023
128000,98042
128750,98002
129000,98032
129000,98042
129000,98055
129888,98166
130000,98027
130000,98033
130000,98108
130000,98116
130000,98133
130000,98146
130000,98188
130000,98198
132500,98001
132500,98146
132825,98042
133000,98118
133000,98198
133400,98023
134000,98014
134000,98168
135000,98002
135000,98010
135000,98023
135000,98032
135000,98106
135000,98146
135000,98146
135000,98168
135000,98168
135000,98178
135900,98178
136500,98023
137000,98002
137000,98106
137124,98058
137900,98178
139000,98001
139000,98030
139000,98056
139500,98042
140000,98002
140000,98003
140000,98030
140000,98032
140000,98042
140000,98055
140000,98055
140000,98118
140000,98198
140000,98198
141800,98056
142500,98002
142500,98166
143000,98092
144000,98058
144000,98058
144975,98198
145000,98030
145000,98033
145000,98146
145000,98168
145600,98058
146000,98023
146000,98168
146300,98092
147000,98023
147000,98178
147200,98188
147400,98146
147500,98031
147500,98042
147500,98198
148000,98106
148000,98106
148226,98092
148900,98002
149000,98092
149000,98146
149500,98198
149900,98198
150000,98001
150000,98002
150000,98002
150000,98014
150000,98014
150000,98014
150000,98023
150000,98031
150000,98042
150000,98055
150000,98056
150000,98058
150000,98058
150000,98058
150000,98092
150000,98106
150000,98106
150000,98146
150000,98168
150000,98168
150000,98168
150000,98168
150000,98178
150000,98178
150000,98198
150550,98168
151000,98056
151000,98106
151100,98146
151600,98058
152000,98031
152000,98042
152000,98092
152000,98146
152000,98198
152275,98146
152500,98003
152500,98092
152900,98022
153000,98023
153000,98155
153000,98166
153000,98178
153500,98118
153503,98003
154000,98001
154000,98014
154200,98146
154500,98148
154950,98002
155000,98003
155000,98014
155000,98014
155000,98056
155000,98108
155000,98108
155000,98118
155000,98118
156000,98002
156000,98003
156000,98014
156000,98118
156000,98146
156000,98188
156601,98038
157000,98168
157000,98198
157000,98198
157340,98042
157500,98031
157500,98108
157500,98178
158000,98003
158000,98030
158000,98118
158000,98168
158550,98032
158800,98146
159000,98001
159000,98055
159075,98178
159100,98178
159995,98002
160000,98001
160000,98001
160000,98002
160000,98002
160000,98003
160000,98014
160000,98014
160000,98022
160000,98023
160000,98023
160000,98023
160000,98023
160000,98028
160000,98030
160000,98032
160000,98042
160000,98055
160000,98070
160000,98106
160000,98118
160000,98118
160000,98118
160000,98168
160000,98178
160000,98188
160000,98198
160000,98198
160134,98042
160797,98108
161000,98168
161500,98002
161700,98023
162000,98010
162000,98023
162000,98056
162248,98058
162500,98001
162500,98118
162950,98198
163000,98032
163000,98198
163250,98118
163500,98002
163500,98038
163800,98118
164000,98042
164000,98092
164808,98178
164950,98166
165000,98001
165000,98001
165000,98032
165000,98032
165000,98042
165000,98055
165000,98056
165000,98058
165000,98058
165000,98106
165000,98106
165000,98106
165000,98118
165000,98146
165000,98168
165000,98168
165000,98178
165000,98178
165000,98188
165050,98022
166000,98001
166000,98168
166000,98178
166600,98042
166950,98058
167000,98002
167000,98014
167000,98166
167500,98118
168000,98001
168000,98030
168000,98055
168000,98106
168000,98198
168500,98042
168500,98168
